stem_id,plot,date,location,species,dbh,canopy,genus_species,common_name,functional_group,notes
1,1,20210517,1,QUNI,32.8,C,Quercus nigra,water oak,mesophyte,
2,1,20210517,1,JUVI,8.5,I,Juniperus virginiana,eastern red cedar,mesophyte,
3,1,20210517,1,LIST,19.2,I,Liquidambar styraciflua,sweetgum,mesophyte,
4,1,20210517,1,SW,14.5,I,Oxydendrum arboreum,sourwood,intermediate,CHECK THIS
5,1,20210517,1,ACRU,14.5,I,Acer rubrum,red maple,mesophyte,
6,1,20210517,1,QUNI,6.4,I,Quercus nigra,water oak,mesophyte,
7,1,20210517,1,LIST,27.7,C,Liquidambar styraciflua,sweetgum,mesophyte,
8,1,20210517,1,CARYA,4.2,S,Carya sp.,hickory,intermediate,
9,1,20210517,FB,QUAL,34,C,Quercus alba,white oak,pyrophyte,
10,1,20210517,FB,CARYA,6.5,I,Carya sp.,hickory,intermediate,
11,1,20210517,1,FLAG,6.6,S,#N/A,#N/A,#N/A,10:15 unknown
12,1,20210517,1,QUAL,7.3,I,Quercus alba,white oak,pyrophyte,
13,1,20210517,1,PITA,39.8,C,Pinus taeda,loblolly pine,pyrophyte,
14,1,20210517,1,PITA,23.7,C,Pinus taeda,loblolly pine,pyrophyte,
15,1,20210517,1,LIST,20,C,Liquidambar styraciflua,sweetgum,mesophyte,
16,1,20210517,1,ACRU,3.5,S,Acer rubrum,red maple,mesophyte,
17,1,20210517,1,PITA,36.2,C,Pinus taeda,loblolly pine,pyrophyte,
18,1,20210517,1,PITA,45.6,D,Pinus taeda,loblolly pine,pyrophyte,
19,1,20210517,1,QUNI,24.8,C,Quercus nigra,water oak,mesophyte,
20,1,20210517,1,ACRU,10.8,I,Acer rubrum,red maple,mesophyte,
21,1,20210517,1,ACRU,3.8,S,Acer rubrum,red maple,mesophyte,
22,1,20210517,1,ULAL,24.4,C,Ulmus alata,winged elm,mesophyte,CHECK THIS
23,1,20210517,1,ACRU,4.2,S,Acer rubrum,red maple,mesophyte,
24,1,20210517,1,LIST,19.1,C,Liquidambar styraciflua,sweetgum,mesophyte,
25,1,20210517,1,JUVI,11.1,I,Juniperus virginiana,eastern red cedar,mesophyte,
26,1,20210517,1,JUVI,6.7,I,Juniperus virginiana,eastern red cedar,mesophyte,
27,1,20210517,1,LIST,11.8,I,Liquidambar styraciflua,sweetgum,mesophyte,
28,1,20210517,1,QUNI,16.7,I,Quercus nigra,water oak,mesophyte,
29,1,20210517,1,LIST,10.2,I,Liquidambar styraciflua,sweetgum,mesophyte,
30,1,20210517,1,QUNI,11.9,I,Quercus nigra,water oak,mesophyte,
31,1,20210517,FB,LIST,6.4,S,Liquidambar styraciflua,sweetgum,mesophyte,
32,1,20210517,1,PRUNUS,9.5,I,Prunus sp.,cherry,intermediate,
33,1,20210517,1,PITA,24.2,C,Pinus taeda,loblolly pine,pyrophyte,
